name,Measure,geo_type_name,geo_entity_id,geo_entity_name,year_description,data_value
Fine Particulate Matter (PM2.5),Mean,UHF34,305307,Upper East Side-Gramercy,Annual Average 2016,9.86
Fine Particulate Matter (PM2.5),Mean,UHF34,306308,Chelsea-Village  ,Annual Average 2016,10.05
Fine Particulate Matter (PM2.5),Mean,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2016,9.18
Fine Particulate Matter (PM2.5),Mean,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2016,6.94
Fine Particulate Matter (PM2.5),Mean,UHF34,501502,Northern SI,Annual Average 2016,6.97
Fine Particulate Matter (PM2.5),Mean,UHF34,503504,Southern SI,Annual Average 2016,6.78
Fine Particulate Matter (PM2.5),Mean,UHF34,105106107,South Bronx,Annual Average 2016,8.21
Nitrogen Dioxide (NO2),Mean,UHF34,101,Kingsbridge - Riverdale,Annual Average 2016,16.04
Nitrogen Dioxide (NO2),Mean,UHF34,102,Northeast Bronx,Annual Average 2016,17.52
Nitrogen Dioxide (NO2),Mean,UHF34,103,Fordham - Bronx Pk,Annual Average 2016,17.93
Nitrogen Dioxide (NO2),Mean,UHF34,104,Pelham - Throgs Neck,Annual Average 2016,17.92
Nitrogen Dioxide (NO2),Mean,UHF34,201,Greenpoint,Annual Average 2016,21.44
Nitrogen Dioxide (NO2),Mean,UHF34,202,Downtown - Heights - Slope,Annual Average 2016,21.65
Nitrogen Dioxide (NO2),Mean,UHF34,203,Bedford Stuyvesant - Crown Heights,Annual Average 2016,20.2
Nitrogen Dioxide (NO2),Mean,UHF34,204,East New York,Annual Average 2016,18.26
Nitrogen Dioxide (NO2),Mean,UHF34,205,Sunset Park,Annual Average 2016,19.32
Nitrogen Dioxide (NO2),Mean,UHF34,206,Borough Park,Annual Average 2016,18.87
Nitrogen Dioxide (NO2),Mean,UHF34,207,East Flatbush - Flatbush,Annual Average 2016,18.86
Nitrogen Dioxide (NO2),Mean,UHF34,208,Canarsie - Flatlands,Annual Average 2016,15.3
Nitrogen Dioxide (NO2),Mean,UHF34,209,Bensonhurst - Bay Ridge,Annual Average 2016,17.78
Nitrogen Dioxide (NO2),Mean,UHF34,210,Coney Island - Sheepshead Bay,Annual Average 2016,15.62
Nitrogen Dioxide (NO2),Mean,UHF34,211,Williamsburg - Bushwick,Annual Average 2016,20.82
Nitrogen Dioxide (NO2),Mean,UHF34,301,Washington Heights,Annual Average 2016,19.85
Nitrogen Dioxide (NO2),Mean,UHF34,302,Central Harlem - Morningside Heights,Annual Average 2016,22.19
Nitrogen Dioxide (NO2),Mean,UHF34,303,East Harlem,Annual Average 2016,22.19
Nitrogen Dioxide (NO2),Mean,UHF34,304,Upper West Side,Annual Average 2016,23.15
Nitrogen Dioxide (NO2),Mean,UHF34,401,Long Island City - Astoria,Annual Average 2016,20.91
Nitrogen Dioxide (NO2),Mean,UHF34,402,West Queens,Annual Average 2016,20.53
Nitrogen Dioxide (NO2),Mean,UHF34,403,Flushing - Clearview,Annual Average 2016,18.23
Nitrogen Dioxide (NO2),Mean,UHF34,405,Ridgewood - Forest Hills,Annual Average 2016,18.65
Nitrogen Dioxide (NO2),Mean,UHF34,407,Southwest Queens,Annual Average 2016,17.8
Nitrogen Dioxide (NO2),Mean,UHF34,408,Jamaica,Annual Average 2016,17.56
Nitrogen Dioxide (NO2),Mean,UHF34,409,Southeast Queens,Annual Average 2016,16.16
Nitrogen Dioxide (NO2),Mean,UHF34,410,Rockaways,Annual Average 2016,11.72
Nitrogen Dioxide (NO2),Mean,UHF34,305307,Upper East Side-Gramercy,Annual Average 2016,27.31
Nitrogen Dioxide (NO2),Mean,UHF34,306308,Chelsea-Village  ,Annual Average 2016,27.55
Nitrogen Dioxide (NO2),Mean,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2016,25.01
Nitrogen Dioxide (NO2),Mean,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2016,17.1
Nitrogen Dioxide (NO2),Mean,UHF34,501502,Northern SI,Annual Average 2016,15.81
Nitrogen Dioxide (NO2),Mean,UHF34,503504,Southern SI,Annual Average 2016,12.48
Nitrogen Dioxide (NO2),Mean,UHF34,105106107,South Bronx,Annual Average 2016,20.38
Ozone (O3),Mean,UHF34,101,Kingsbridge - Riverdale,Summer 2016,32.46
Ozone (O3),Mean,UHF34,102,Northeast Bronx,Summer 2016,33.21
Ozone (O3),Mean,UHF34,103,Fordham - Bronx Pk,Summer 2016,32.78
Ozone (O3),Mean,UHF34,104,Pelham - Throgs Neck,Summer 2016,33.63
Ozone (O3),Mean,UHF34,201,Greenpoint,Summer 2016,32.96
Ozone (O3),Mean,UHF34,202,Downtown - Heights - Slope,Summer 2016,31.98
Ozone (O3),Mean,UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2016,32.98
